"","Year","Region","RegionNum","WarCount","WarCountP","WarCountA"
"592","1831","Oceania","4",0,0,0
"593","1832","Oceania","4",0,0,0
"594","1833","Oceania","4",0,0,0
"595","1834","Oceania","4",0,0,0
"596","1835","Oceania","4",0,0,0
"597","1836","Oceania","4",0,0,0
"598","1837","Oceania","4",0,0,0
"599","1838","Oceania","4",0,0,0
"600","1839","Oceania","4",0,0,0
"601","1840","Oceania","4",0,0,0
"602","1841","Oceania","4",0,0,0
"603","1842","Oceania","4",0,0,0
"604","1843","Oceania","4",0,0,0
"605","1844","Oceania","4",0,0,0
"606","1845","Oceania","4",0,0,0
"607","1846","Oceania","4",0,0,0
"608","1847","Oceania","4",0,0,0
"609","1848","Oceania","4",0,0,0
"610","1849","Oceania","4",0,0,0
"611","1850","Oceania","4",0,0,0
"612","1851","Oceania","4",0,0,0
"613","1852","Oceania","4",0,0,0
"614","1853","Oceania","4",0,0,0
"615","1854","Oceania","4",0,0,0
"616","1855","Oceania","4",0,0,0
"617","1856","Oceania","4",0,0,0
"618","1857","Oceania","4",0,0,0
"619","1858","Oceania","4",0,0,0
"620","1859","Oceania","4",0,0,0
"621","1860","Oceania","4",0,0,0
"622","1861","Oceania","4",0,0,0
"623","1862","Oceania","4",0,0,0
"624","1863","Oceania","4",0,0,0
"625","1864","Oceania","4",0,0,0
"626","1865","Oceania","4",0,0,0
"627","1866","Oceania","4",0,0,0
"628","1867","Oceania","4",0,0,0
"629","1868","Oceania","4",0,0,0
"630","1869","Oceania","4",0,0,0
"631","1870","Oceania","4",0,0,0
"632","1871","Oceania","4",0,0,0
"633","1872","Oceania","4",0,0,0
"634","1873","Oceania","4",0,0,0
"635","1874","Oceania","4",0,0,0
"636","1875","Oceania","4",0,0,0
"637","1876","Oceania","4",0,0,0
"638","1877","Oceania","4",0,0,0
"639","1878","Oceania","4",0,0,0
"640","1879","Oceania","4",0,0,0
"641","1880","Oceania","4",0,0,0
"642","1881","Oceania","4",0,0,0
"643","1882","Oceania","4",0,0,0
"644","1883","Oceania","4",0,0,0
"645","1884","Oceania","4",0,0,0
"646","1885","Oceania","4",0,0,0
"647","1886","Oceania","4",0,0,0
"648","1887","Oceania","4",0,0,0
"649","1888","Oceania","4",0,0,0
"650","1889","Oceania","4",0,0,0
"651","1890","Oceania","4",0,0,0
"652","1891","Oceania","4",0,0,0
"653","1892","Oceania","4",0,0,0
"654","1893","Oceania","4",0,0,0
"655","1894","Oceania","4",0,0,0
"656","1895","Oceania","4",0,0,0
"657","1896","Oceania","4",0,0,0
"658","1897","Oceania","4",0,0,0
"659","1898","Oceania","4",0,0,0
"660","1899","Oceania","4",0,0,0
"661","1900","Oceania","4",0,0,0
"662","1901","Oceania","4",0,0,0
"663","1902","Oceania","4",0,0,0
"664","1903","Oceania","4",0,0,0
"665","1904","Oceania","4",0,0,0
"666","1905","Oceania","4",0,0,0
"667","1906","Oceania","4",0,0,0
"668","1907","Oceania","4",0,0,0
"669","1908","Oceania","4",0,0,0
"670","1909","Oceania","4",0,0,0
"671","1910","Oceania","4",0,0,0
"672","1911","Oceania","4",0,0,0
"673","1912","Oceania","4",0,0,0
"674","1913","Oceania","4",0,0,0
"675","1914","Oceania","4",0,0,0
"676","1915","Oceania","4",0,0,0
"677","1916","Oceania","4",0,0,0
"678","1917","Oceania","4",0,0,0
"679","1918","Oceania","4",0,0,0
"680","1919","Oceania","4",0,0,0
"681","1920","Oceania","4",0,0,0
"682","1921","Oceania","4",0,0,0
"683","1922","Oceania","4",0,0,0
"684","1923","Oceania","4",0,0,0
"685","1924","Oceania","4",0,0,0
"686","1925","Oceania","4",0,0,0
"687","1926","Oceania","4",0,0,0
"688","1927","Oceania","4",0,0,0
"689","1928","Oceania","4",0,0,0
"690","1929","Oceania","4",0,0,0
"691","1930","Oceania","4",0,0,0
"692","1931","Oceania","4",0,0,0
"693","1932","Oceania","4",0,0,0
"694","1933","Oceania","4",0,0,0
"695","1934","Oceania","4",0,0,0
"696","1935","Oceania","4",0,0,0
"697","1936","Oceania","4",0,0,0
"698","1937","Oceania","4",0,0,0
"699","1938","Oceania","4",0,0,0
"700","1939","Oceania","4",1,0,1
"701","1940","Oceania","4",0,0,0
"702","1941","Oceania","4",0,0,0
"703","1942","Oceania","4",0,0,0
"704","1943","Oceania","4",0,0,0
"705","1944","Oceania","4",0,0,0
"706","1945","Oceania","4",0,0,0
"707","1946","Oceania","4",0,0,0
